date,0x20240820,,,,,,,,,,,,,,,,end
title,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,end
level/type,sdp,sdp,cdp/dcp,cdp/dcp,vooc,vooc,svooc,svooc,pd/qc,pd/qc,third-pps,third-pps,third-ufcs,third-ufcs,oplus-ufcs,oplus-ufcs,end
crc32,0xf2e78607,NA,0xf279748,NA,0x29e56ed3,NA,0x151857a0,NA,0xc87d05bc,NA,0x3527ebcd,NA,0x870bad23,NA,0x91f4de31,NA,end
91,4498,227,1027,1057,689,1424,245,4581,866,1222,1717,623,1976,481,352,2980,end
92,4446,226,914,1057,785,1356,252,4077,855,1213,1733,621,1918,481,363,2979,end
93,4488,226,966,1054,728,1332,312,3558,911,1204,1772,620,1964,481,302,2981,end
94,4500,225,925,1052,837,1264,288,3558,861,1194,1734,619,1977,480,362,2983,end
95,4499,224,965,1049,819,1211,351,3044,916,1192,1673,619,1919,479,351,2982,end
96,4533,225,967,1045,875,1163,319,3040,856,1167,1720,617,1969,479,363,2981,end
97,4500,224,975,1044,1009,1011,403,2510,1040,1009,1758,614,1976,479,302,2981,end
98,4548,223,916,1041,1299,806,375,2511,1230,858,1711,614,1962,479,363,2980,end
99,4494,223,966,1040,1639,612,463,1959,1466,731,1810,489,1977,477,361,2978,end
end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end
